RefDes,Name,Value,Quantity,Cost,Mouser artnr
C1,CAP_0603,100nf,1,0.163,WHATEVER
C2,CAP_0806,,1,0.564,WHATEVER
C3,CAP_0806,,1,0.564,WHATEVER
C4,CAP_0805,1uf,1,0.191,WHATEVER
C5,CAP_0805,1uf,1,0.191,WHATEVER
C6,CAP_0805,1uf,1,0.191,WHATEVER
C7,CAP_0805,1uf,1,0.191,WHATEVER
C8,CAP_0805,1uf,1,0.191,WHATEVER
C9,CAP_0805,1uf,1,0.191,WHATEVER
C10,CAP_0603,100nf,1,0.163,WHATEVER
C11,CAP_0603,100nf,1,0.163,WHATEVER
C12,CAP_0603,100nf,1,0.163,WHATEVER
C13,CAP_0805,1uf,1,0.191,WHATEVER
C14,CAP_0805,1uf,1,0.191,WHATEVER
C15,CAP_0805,1uf,1,0.191,WHATEVER
C16,CAP_0805,4u7,1,0.564,WHATEVER
C17,CAP_0603,100nf,1,0.163,WHATEVER
C18,CAP_0603,100nf,1,0.163,WHATEVER
C19,CAP_0805,4u7,1,0.564,WHATEVER
C20,CAP_0603,100nf,1,0.163,WHATEVER
C21,CAP_0603,100n,1,0.163,WHATEVER
C22,CAP_0603,100n,1,0.163,WHATEVER
C23,CAP_0603,100nf,1,0.163,WHATEVER
C25,CAP_0603,100n,1,0.163,WHATEVER
C28,CAP_0603,15pf,1,0.163,WHATEVER
C29,CAP_0603,15pf,1,0.163,WHATEVER
D1,CHG,Red LED,1,0.574,78-VLMS1300-GS08
J1,ZX62-B-5PA,USB,1,7.44,798-ZX62-B-5PA11
J2,500873-0806,MicroSD,1,31.64,538-500873-0806
J3,GREC004SBSN-M89RC,PDI,1,4.15,855-M20-8900405
Q1,MMBT3904,MMBT3904,1,0.402,512-MMBT3904
R1,RES_0603,47K,1,0.067,WHATEVER
R2,RES_0603,47K,1,0.067,WHATEVER
R3,RES_0603,47K,1,0.067,WHATEVER
R4,RES_0603,47K,1,0.067,WHATEVER
R5,RES_0603,47K,1,0.067,WHATEVER
R6,RES_0603,10K,1,0.067,WHATEVER
R8,RES_0603,,1,0.067,WHATEVER
R9,RES_0603,330R,1,0.067,WHATEVER
R10,RES_0603,,1,0.067,WHATEVER
R11,RES_0603,,1,0.067,WHATEVER
R12,RES_0603,,1,0.067,WHATEVER
R15,RES_0603,10K,1,0.067,WHATEVER
S1,B3F-3120,,1,1.14,506-2-1825027-0
S2,B3F-3120,,1,1.14,506-2-1825027-0
S3,B3F-3120,,1,1.14,506-2-1825027-0
S4,B3F-3120,,1,1.14,506-2-1825027-0
S5,B3F-3120,,1,1.14,506-2-1825027-0
S6,B3F-3120,,1,1.14,506-2-1825027-0
S7,EVQ5PN04K,,1,1.83,506-147873-1
S8,EVQ5PN04K,,1,1.83,506-147873-1
S9,EVQ5PN04K,,1,1.83,506-147873-1
S10,EVQ5PN04K,,1,1.83,506-147873-1
S11,EVQ5PN04K,,1,1.83,506-147873-1
S12,EVQ5PN04K,,1,1.83,506-147873-1
S13,EVQ5PN04K,,1,1.83,506-147873-1
S14,EVQ5PN04K,,1,1.83,506-147873-1
S15,EVQ5PN04K,,1,1.83,506-147873-1
S16,EVQ5PN04K,,1,1.83,506-147873-1
S17,EVQ5PN04K,,1,1.83,506-147873-1
S18,EVQ5PN04K,,1,1.83,506-147873-1
S19,EVQ5PN04K,,1,1.83,506-147873-1
S20,EVQ5PN04K,,1,1.83,506-147873-1
S21,EVQ5PN04K,,1,1.83,506-147873-1
S22,EVQ5PN04K,,1,1.83,506-147873-1
S23,EVQ5PN04K,,1,1.83,506-147873-1
S24,EVQ5PN04K,,1,1.83,506-147873-1
S25,EVQ5PN04K,,1,1.83,506-147873-1
S26,EVQ5PN04K,,1,1.83,506-147873-1
S27,EVQ5PN04K,,1,1.83,506-147873-1
S28,EVQ5PN04K,,1,1.83,506-147873-1
S29,EVQ5PN04K,,1,1.83,506-147873-1
S30,EVQ5PN04K,,1,1.83,506-147873-1
U1,ATxmega128A1-AU,,1,47.9,556-ATXMEGA128A1U-AU
U3,DOGM128,,1,202.29,790-EADOGM128W6
U5,MCP73831,,1,5.19,579-MCP73831T-3ACIOT
U6,LP3985IM5-3.3,,1,5.36,926-3985IM5-3.3/NOPB
U7,JST_2MM_MALE,,1,,
U8,74HC573D,,1,4.16,771-74HC573D-T
U9,IS62WV6416DBLL,,1,20.94,870-62WV6416DBL45TLI
Y1,TC26H,32KHz,1,2.17,815-AB38T-32.768KHZ
,,,,,
MISC+OPT,,,,,
Backlight,EA LED68x51-R,Red,,85.18,790-EALED68X51-R
,,,,,
,,,,,
Total,,,,,
,,,,475.054,
